*required extra build step for inserting application files as specified in the application instructions.
^no KML

nginx               nginx:alpine
httpd               httpd:alpine
python              python:alpine
node                node:12-alpine*
java                openjdk:8-jdk-alpine
traefik             traefik:alpine
redis               redis:alpine*
influxdb            influxdb:alpine
vault               vault:latest
ghost               ghost:alpine
nats                nats:alpine
kapacitor           kapacitor:alpine
arangodb            arangodb:latest^
memcached           memcached:alpine
rabbitmq            rabbitmq:alpine
telegraf            telegraf:alpine
jenkins             jenkins/jenkins:alpine
chronograf          chronograf:alpine
plone               plone:alpine
spring              openjdk:8-jdk-alpine*
mongo               mvertes/alpine-mongo:latest*
elasticsearch       blacktop/elasticsearch:latest^
wordpress           wordpress:fpm-alpine
nextcloud           nextcloud:fpm-alpine
haproxy             haproxy:alpine*
sonarqube           sonarqube:latest
mosquitto           eclipse-mosquitto:latest*
drupal              drupal:fpm-alpine
joomla              joomla:fpm-alpine
convertigo          convertigo:alpine
mariadb             yobasystems/alpine-mariadb:latest^
neo4j               neo4j:3.5.5^
orientdb            orientdb:3.0-tp3-alpine
postgresql          postgres:alpine
